Restaurant_ID,Name,Cuisine_Type,Location,Rating
52,"Richardson, Fitzpatrick and Hanson",Chinese,West Melissa,4.22
53,Jackson Group,Italian,Nicholasview,4.0
54,Rodriguez-Rosales,Indian,Port Raymond,3.47
55,Vincent-Green,Chinese,Colechester,4.08
56,"Lowe, Peterson and Friedman",Japanese,Port Tiffany,1.19
57,Mitchell Ltd,Japanese,North Mariamouth,3.67
58,"Ortiz, Gonzalez and Le",Indian,Lake Cynthiaberg,1.74
59,"Clements, Allen and Brown",Mexican,Hartmanside,4.77
60,"Hall, Hayes and Nichols",Chinese,Lauramouth,1.12
61,Stanley Group,Chinese,Carrollland,4.39
62,"Hurley, Webb and Flores",Italian,Michaelview,1.01
63,Tran Ltd,Japanese,Kylefort,4.33
64,Gill LLC,Japanese,Sarahfurt,2.0
65,"Tyler, Jackson and Mitchell",Japanese,Sandraview,4.12
66,Fernandez-Anderson,Indian,East Karen,3.04
67,"Mcdonald, Hale and Clark",Italian,Michaelhaven,2.77
68,Smith Group,Chinese,Carlamouth,1.39
69,"Smith, Herrera and Fitzgerald",Japanese,Jesusmouth,1.94
70,Mcdonald Ltd,Japanese,Williamport,1.41
71,Lee LLC,Mexican,South Amanda,1.78
72,Martin Ltd,Indian,Marychester,1.58
73,Cardenas-Jackson,Indian,Aaronchester,3.88
74,"Ellis, Sawyer and Salinas",Mexican,Gomezton,4.61
75,Griffith-Rodriguez,Indian,Lake Heatherview,4.94
76,Smith-Kim,Chinese,Timothyberg,4.22
77,Lopez-Smith,Italian,Port Latashashire,4.16
78,Haynes LLC,Indian,South Matthew,2.3
79,Ho Inc,Indian,Leeborough,4.21
80,Contreras Ltd,Italian,Davischester,1.51
81,"Warner, Spencer and Nichols",Indian,New James,1.68
82,"Ashley, Davis and Friedman",Chinese,South Aliciaton,2.79
83,Campos Inc,Indian,Cassandraland,1.13
84,"Martinez, Parker and Reyes",Mexican,Cookfurt,2.56
85,"Hebert, Nelson and Nguyen",Japanese,Williamhaven,2.25
86,Watson Group,Italian,South Juan,2.24
87,Savage-Smith,Italian,Lake Brian,2.15
88,"Cooper, Hernandez and Jordan",Italian,South Jillmouth,3.7
89,Joseph-Smith,Indian,Port Wendy,1.39
90,"Delgado, Gillespie and White",Chinese,Jamesfurt,3.02
91,Wood-Williams,Indian,Lake Jeremy,4.31
92,Williams Group,Japanese,West Katrinafort,3.48
93,"Reeves, Rojas and Jensen",Mexican,Careyberg,4.04
94,Murray LLC,Japanese,Dalemouth,4.55
95,Hall Ltd,Indian,Anthonyborough,1.19
96,"Baldwin, Daniels and Kirk",Japanese,Alexanderbury,1.46
97,"Vaughan, Conley and Johnson",Italian,North Amy,4.52
98,Holmes-Hill,Italian,Port Chris,3.06
99,"Cunningham, Hall and Luna",Indian,Travismouth,1.31
100,"Wilson, Sanders and Sweeney",Chinese,West Dustinmouth,1.54
